"","ServiceCode","ServiceURL","FullSiteCode","FullVariableCode","BeginDateTime","EndDateTime","SiteName","Latitude","Longitude","DataType","ValueType","SampleMedium","TimeUnits","TimeSupport"
"1","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:585","CHMI-D:PRUTOK",2007-06-22,2015-08-10,"Planany",50.049446105957,15.0177774429321,"Average","Field Observation","Water","day",0
"2","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:586","CHMI-D:PRUTOK",2007-06-22,2015-08-10,"Unicov",49.7713890075684,17.1316661834717,"Average","Field Observation","Water","day",0
"3","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:587","CHMI-D:PRUTOK",2007-06-22,2015-08-10,"Mikulovice",50.2908325195312,17.2958335876465,"Average","Field Observation","Water","day",0
"4","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:617","CHMI-D:PRUTOK",2007-06-17,2015-08-10,"Otice",49.9163055419922,17.8690700531006,"Average","Field Observation","Water","day",0
"5","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:618","CHMI-D:PRUTOK",2007-06-21,2015-08-10,"Fulnek",49.7151947021484,17.9098072052002,"Average","Field Observation","Water","day",0
"6","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:619","CHMI-D:PRUTOK",2007-06-17,2015-08-10,"Petrvald",49.7125015258789,18.155834197998,"Average","Field Observation","Water","day",0
"7","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:620","CHMI-D:PRUTOK",2007-06-17,2015-08-10,"Brušperk",49.7001304626465,18.2203845977783,"Average","Field Observation","Water","day",0
"8","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:621","CHMI-D:PRUTOK",2007-06-22,2015-08-10,"Kozlovice",49.5909614562988,18.2576656341553,"Average","Field Observation","Water","day",0
"9","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:622","CHMI-D:PRUTOK",2007-06-18,2015-08-10,"Bartošovice",49.6880226135254,18.0406684875488,"Average","Field Observation","Water","day",0
"10","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:623","CHMI-D:PRUTOK",2007-06-18,2015-08-10,"Celadná",49.5483512878418,18.3420829772949,"Average","Field Observation","Water","day",0
"11","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:624","CHMI-D:PRUTOK",2007-06-18,2015-08-10,"Staré Hamry",49.4577789306641,18.4605560302734,"Average","Field Observation","Water","day",0
"12","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:625","CHMI-D:PRUTOK",2007-06-18,2015-08-10,"Radvanice",49.8165588378906,18.3312835693359,"Average","Field Observation","Water","day",0
"13","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:626","CHMI-D:PRUTOK",2007-06-22,2015-08-05,"Vresina",49.8290061950684,18.1261920928955,"Average","Field Observation","Water","day",0
"14","HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl","CHMI-D:627","CHMI-D:PRUTOK",2007-06-18,2015-08-10,"Hradište",49.7283363342285,18.513162612915,"Average","Field Observation","Water","day",0
