"","ServiceCode","ServiceURL","FullSiteCode","FullVariableCode","BeginDateTime","EndDateTime","SiteName","Latitude","Longitude","DataType","ValueType","SampleMedium","TimeUnits","TimeSupport"
"1","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:956","CHMI-H:PRUTOK",2011-07-23,2015-08-10,"Otín",49.1285552978516,15.0526914596558,"Average","Field Observation","Water","hour",1
"30","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:946","CHMI-H:PRUTOK",2011-07-22,2013-02-12,"Zárecí",49.3245658874512,13.6795320510864,"Average","Field Observation","Water","hour",1
"117","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:914","CHMI-H:PRUTOK",2011-01-12,2015-08-10,"Šitbor",49.5031242370605,12.7822151184082,"Average","Field Observation","Water","hour",1
"175","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:912","CHMI-H:PRUTOK",2011-01-12,2015-08-10,"Újezdec",49.5158920288086,13.1978464126587,"Average","Field Observation","Water","hour",1
"204","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:121","CHMI-H:PRUTOK",2005-01-23,2015-08-10,"Uherský Brod",49.0313873291016,17.6627769470215,"Average","Field Observation","Water","hour",1
"205","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:772","CHMI-H:PRUTOK",2010-05-30,2015-08-10,"Dolní Bory",49.422779083252,15.9869441986084,"Average","Field Observation","Water","hour",1
"206","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:777","CHMI-H:PRUTOK",2010-05-30,2015-08-10,"Vranov - Hamry",48.8950004577637,15.8205556869507,"Average","Field Observation","Water","hour",1
"207","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:88","CHMI-H:PRUTOK",2005-03-01,2015-08-10,"Židlochovice",49.0361099243164,16.6180553436279,"Average","Field Observation","Water","hour",1
"208","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:98","CHMI-H:PRUTOK",2005-03-09,2015-08-10,"Moravicany",49.7558326721191,16.9775009155273,"Average","Field Observation","Water","hour",1
"209","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:515","CHMI-H:PRUTOK",2006-08-10,2015-08-10,"VD Vír",49.5427780151367,16.3391666412354,"Average","Field Observation","Water","hour",1
"210","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:518","CHMI-H:PRUTOK",2006-08-09,2015-08-10,"Letovice",49.5302772521973,16.5827770233154,"Average","Field Observation","Water","hour",1
"211","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:519","CHMI-H:PRUTOK",2006-08-09,2015-08-10,"Ladná",48.804443359375,16.8552780151367,"Average","Field Observation","Water","hour",1
"212","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:520","CHMI-H:PRUTOK",2006-08-09,2015-08-10,"Lanžhot",48.6875,16.9905548095703,"Average","Field Observation","Water","hour",1
"213","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:521","CHMI-H:PRUTOK",2006-08-04,2015-08-10,"Vizovice",49.2230567932129,17.8438892364502,"Average","Field Observation","Water","hour",1
"214","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:523","CHMI-H:PRUTOK",2006-08-09,2015-08-10,"Jarcová",49.4449996948242,17.97194480896,"Average","Field Observation","Water","hour",1
"215","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:504","CHMI-H:PRUTOK",2006-08-09,2015-08-10,"VD Znojmo",48.8544425964355,16.0444450378418,"Average","Field Observation","Water","hour",1
"216","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:508","CHMI-H:PRUTOK",2006-08-09,2015-08-10,"Moravský Krumlov",49.0516662597656,16.3077774047852,"Average","Field Observation","Water","hour",1
"217","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:509","CHMI-H:PRUTOK",2006-08-09,2015-08-10,"VD Mohelno",49.1033325195312,16.1849994659424,"Average","Field Observation","Water","hour",1
"218","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:510","CHMI-H:PRUTOK",2006-08-07,2015-08-10,"Dvorce",49.3824996948242,15.5041666030884,"Average","Field Observation","Water","hour",1
"219","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:512","CHMI-H:PRUTOK",2006-08-09,2015-08-10,"Baliny",49.339168548584,15.9624996185303,"Average","Field Observation","Water","hour",1
"220","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:514","CHMI-H:PRUTOK",2006-08-09,2015-08-10,"Brno - Porící",49.1863899230957,16.5938892364502,"Average","Field Observation","Water","hour",1
"221","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:205","CHMI-H:PRUTOK",2005-02-23,2015-08-10,"Dluhonice",49.4494438171387,17.4113883972168,"Average","Field Observation","Water","hour",1
