"","SiteName","SiteCode","FullSiteCode","Latitude","Longitude","ServCode","ServURL"
"1","Labská bouda","1","CHMI-D:1",50.7700004577637,15.5500001907349,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"2","Ústí nad Labem","10","CHMI-D:10",50.6838989257812,14.0410995483398,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"3","Teplice nad Becvou","100","CHMI-D:100",49.5305557250977,17.7477779388428,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"4","Lednice","1000","CHMI-D:1000",48.7924995422363,16.798900604248,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"5","Tuhan","1001","CHMI-D:1001",50.2972221374512,14.5222225189209,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"6","Javorový vrch","1003","CHMI-D:1003",49.6278991699219,18.627799987793,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"7","Zbiroh, Švabín","1004","CHMI-D:1004",49.8539009094238,13.7517004013062,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"8","Horská Kvilda","1005","CHMI-D:1005",49.0525016784668,13.5697002410889,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"9","Nejdek","1006","CHMI-D:1006",50.3400001525879,12.7200002670288,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"10","KS Rajnochovice","1007","CHMI-D:1007",49.4160690307617,17.8083000183105,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"11","Rajnochovice","1008","CHMI-D:1008",49.4160690307617,17.8083000183105,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"12","Dolní Loucky","101","CHMI-D:101",49.3577766418457,16.3616676330566,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"13","Stránky","1010","CHMI-D:1010",50.2900009155273,13.5699996948242,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"14","Pila","1011","CHMI-D:1011",50.1767692565918,12.9218263626099,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"15","Daleké Dušníky","1012","CHMI-D:1012",49.7312393188477,14.1800222396851,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"16","Pruhonice","1014","CHMI-D:1014",49.9898300170898,14.5713291168213,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"17","Libouchec","1015","CHMI-D:1015",50.7577438354492,14.0410823822021,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"18","Zajecice","1016","CHMI-D:1016",49.9109916687012,15.8828563690186,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"19","Mezisvetí","1017","CHMI-D:1017",49.853759765625,15.7514057159424,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"20","Brumov","1018","CHMI-D:1018",49.0857009887695,18.0199356079102,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
