datum	teplota
2013-07-31 04:00:00	17.0
2013-07-31 05:00:00	16.5
2013-07-31 06:00:00	16.0
2013-07-31 07:00:00	17.1
2013-07-31 08:00:00	18.4
2013-07-31 09:00:00	20.7
2013-07-31 10:00:00	22.6
2013-07-31 11:00:00	23.8
2013-07-31 12:00:00	25.4
2013-07-31 13:00:00	26.7
2013-07-31 14:00:00	26.9
2013-07-31 15:00:00	27.2
2013-07-31 16:00:00	26.6
2013-07-31 17:00:00	26.6
2013-07-31 18:00:00	26.5
2013-07-31 19:00:00	26.0
2013-07-31 20:00:00	25.2
2013-07-31 21:00:00	24.0
2013-07-31 22:00:00	22.9
2013-07-31 23:00:00	21.6
2013-08-01 00:00:00	19.9
