id	name	lat	lon	elev	operator
1	Labská bouda	50.77	15.55	1317	CHMI
4	Deštné v O. h.	50.3033333	16.3527778	635	CHMI
5	Rokytnice v O. h.	50.164432	16.460258	564	CHMI
6	Seč	49.8447	15.6481	529	CHMI
7	Janov-Gajer	49.8211	16.4111	515	CHMI
8	Úpice	50.5063889	16.0116667	413	CHMI
11	Rychnov nad Kněžnou	50.1725	16.2683333	335	CHMI
12	Velichovky	50.3569	15.8325	299	CHMI
13	Doksy	50.5681	14.6675	284	CHMI
14	Jičín	50.4394	15.3528	283	CHMI
15	Hradec Králové, N.H.K.	50.1761	15.8386	278	CHMI
16	Mokošín	50.0164	15.5664	255	CHMI
17	Kopisty	50.5442	13.6233	240	CHMI
18	Teplice	50.6625	13.8569	236	CHMI
19	Čáslav	49.9419444	15.3858333	235	CHMI
21	Poděbrady	50.1406	15.1333	189	CHMI
25	Černá v Pošumaví	48.7356	14.1072	739	CHMI
27	Nadějkov	49.5169	14.4653	615	CHMI
28	Vyšší Brod	48.6175	14.3144	559	CHMI
31	Jindřichův Hradec, Děbolín	49.1556	14.9575	525	CHMI
32	Konstantinovy Lázně	49.8847	12.9758	522	CHMI
35	Husinec	49.0397222	13.9927778	492	CHMI
36	Byňov	48.8155556	14.8002778	475	CHMI
37	Kralovice	49.988889	13.494167	468	CHMI
38	Tábor	49.4136111	14.6691667	461	CHMI
39	Vráž u P.	49.3822222	14.1247222	432	CHMI
40	Klatovy	49.3922222	13.3016667	430	CHMI
43	Staňkov	49.5530556	13.0688889	362	CHMI
44	Plzeň-Bolevec	49.7872222	13.3877778	328	CHMI
47	Milešovka	50.5547222	13.9313889	833	CHMI
48	Karlovy Vary	50.201944	12.913056	603	CHMI
50	Smolnice	50.3083333	13.8566667	345	CHMI
54	Světlá Hora	50.0316667	17.3977778	602	CHMI
55	Jeseník	50.2166667	17.2166667	456	CHMI
56	Lučina	49.7311111	18.4425	300	CHMI
57	Bělotín	49.5869	17.8042	298	CHMI
58	Javorník	50.3944444	17.0016667	289	CHMI
59	Opava	49.9305556	17.8783333	270	CHMI
61	Ostrava-Poruba	49.8252778	18.1588889	242	CHMI
